City,Country
Vienna,Austria
Graz,Austria
Linz,Austria
Salzburg,Austria
Innsbruck,Austria
Brussels,Belgium
Antwerp,Belgium
Ghent,Belgium
Liège,Belgium
Bruges,Belgium
Sofia,Bulgaria
Plovdiv,Bulgaria
Varna,Bulgaria
Burgas,Bulgaria
Zagreb,Croatia
Split,Croatia
Rijeka,Croatia
Osijek,Croatia
Nicosia,Cyprus
Limassol,Cyprus
Larnaca,Cyprus
Prague,Czech Republic
Brno,Czech Republic
Ostrava,Czech Republic
Plzeň,Czech Republic
Copenhagen,Denmark
Aarhus,Denmark
Odense,Denmark
Aalborg,Denmark
Helsinki,Finland
Espoo,Finland
Tampere,Finland
Turku,Finland
Oulu,Finland
Paris,France
Marseille,France
Lyon,France
Toulouse,France
Nice,France
Nantes,France
Strasbourg,France
Montpellier,France
Bordeaux,France
Lille,France
Rennes,France
Reims,France
Le Havre,France
Saint-Étienne,France
Toulon,France
Berlin,Germany
Hamburg,Germany
Munich,Germany
Cologne,Germany
Frankfurt,Germany
Stuttgart,Germany
Düsseldorf,Germany
Dortmund,Germany
Essen,Germany
Leipzig,Germany
Bremen,Germany
Dresden,Germany
Hanover,Germany
Nuremberg,Germany
Duisburg,Germany
Bochum,Germany
Wuppertal,Germany
Bielefeld,Germany
Bonn,Germany
Münster,Germany
Athens,Greece
Thessaloniki,Greece
Patras,Greece
Heraklion,Greece
Larissa,Greece
Budapest,Hungary
Debrecen,Hungary
Miskolc,Hungary
Pécs,Hungary
Reykjavik,Iceland
Akureyri,Iceland
Dublin,Ireland
Cork,Ireland
Limerick,Ireland
Galway,Ireland
Rome,Italy
Milan,Italy
Naples,Italy
Turin,Italy
Palermo,Italy
Genoa,Italy
Bologna,Italy
Florence,Italy
Bari,Italy
Catania,Italy
Venice,Italy
Verona,Italy
Messina,Italy
Padua,Italy
Trieste,Italy
Luxembourg City,Luxembourg
Valletta,Malta
Birkirkara,Malta
Chișinău,Moldova
Amsterdam,Netherlands
Rotterdam,Netherlands
The Hague,Netherlands
Utrecht,Netherlands
Eindhoven,Netherlands
Tilburg,Netherlands
Groningen,Netherlands
Almere,Netherlands
Breda,Netherlands
Nijmegen,Netherlands
Oslo,Norway
Bergen,Norway
Trondheim,Norway
Stavanger,Norway
Warsaw,Poland
Kraków,Poland
Łódź,Poland
Wrocław,Poland
Poznań,Poland
Gdańsk,Poland
Szczecin,Poland
Bydgoszcz,Poland
Lublin,Poland
Katowice,Poland
Lisbon,Portugal
Porto,Portugal
Braga,Portugal
Setúbal,Portugal
Bucharest,Romania
Madrid,Spain
Barcelona,Spain
Valencia,Spain
Seville,Spain
Zaragoza,Spain
Málaga,Spain
Murcia,Spain
Palma,Spain
Las Palmas,Spain
Bilbao,Spain
Alicante,Spain
Córdoba,Spain
Valladolid,Spain
Vigo,Spain
Gijón,Spain
Stockholm,Sweden
Gothenburg,Sweden
Malmö,Sweden
Uppsala,Sweden
Västerås,Sweden
Bern,Switzerland
Geneva,Switzerland
Basel,Switzerland
Lausanne,Switzerland
Ankara,Turkey
Istanbul,Turkey
Izmir,Turkey
Bursa,Turkey
Adana,Turkey
London,United Kingdom
Birmingham,United Kingdom
Leeds,United Kingdom
Glasgow,United Kingdom
Sheffield,United Kingdom
Bradford,United Kingdom
Liverpool,United Kingdom
Edinburgh,United Kingdom
Manchester,United Kingdom
Bristol,United Kingdom
Cardiff,United Kingdom
Belfast,United Kingdom
Leicester,United Kingdom
Coventry,United Kingdom
Nottingham,United Kingdom
Newcastle,United Kingdom
Tirana,Albania
Andorra la Vella,Andorra
Vaduz,Liechtenstein
Monaco,Monaco
